Stazioni;Data;T-MIN;T-MAX
Arsoli;27/02/2020;-1,8;14,4
Arsoli;28/02/2020;0,3;17,9
Arsoli;29/02/2020;-2,4;14,9
Baccano;01/02/2020;7,6;12
Baccano;02/02/2020;10,5;15,5
Baccano;03/02/2020;6,5;17,8
Baccano;04/02/2020;3,4;18,6
Baccano;05/02/2020;0,4;13,3
Baccano;06/02/2020;2,5;12,7
Baccano;07/02/2020;-3,8;16,1
Baccano;08/02/2020;-5;17,1
Baccano;09/02/2020;-4,5;14
Baccano;10/02/2020;8,3;11,6
Baccano;11/02/2020;6;18,7
Baccano;12/02/2020;1,1;19,6
Baccano;13/02/2020;-0,5;14,6
Baccano;14/02/2020;1,1;18,6
Baccano;15/02/2020;0;20,2
Baccano;16/02/2020;-2,7;19,9
Baccano;17/02/2020;-2,6;16,8
Baccano;18/02/2020;1,4;17,8
Baccano;19/02/2020;2,2;13,1
Baccano;20/02/2020;2,8;17,4
Baccano;21/02/2020;-3;18,7
Baccano;22/02/2020;0;18
Baccano;23/02/2020;0,1;17,7
Baccano;24/02/2020;8;20,1
Baccano;25/02/2020;9;16,7
Baccano;26/02/2020;0,5;17,1
Baccano;27/02/2020;-3,1;15,3
Baccano;28/02/2020;3,2;16,4
Baccano;29/02/2020;-2,4;15
Bagnoregio;01/02/2020;8;10,7
Bagnoregio;02/02/2020;8,9;13
Bagnoregio;03/02/2020;8,7;15,9
Bagnoregio;04/02/2020;4,8;16,6
Bagnoregio;05/02/2020;2;10,1
Bagnoregio;06/02/2020;1,6;9,2
Bagnoregio;07/02/2020;0,6;13,7
Bagnoregio;08/02/2020;3;13,4
Bagnoregio;09/02/2020;1,9;11
Bagnoregio;10/02/2020;7,8;10,3
Bagnoregio;11/02/2020;8,3;16,5
Bagnoregio;12/02/2020;6,2;16,7
Bagnoregio;13/02/2020;4,5;13,8
Bagnoregio;14/02/2020;7,6;15,4
Bagnoregio;15/02/2020;5,9;16,1
Bagnoregio;16/02/2020;5,6;16,7
Bagnoregio;17/02/2020;4,3;14,8
Bagnoregio;18/02/2020;4,6;16,7
Bagnoregio;19/02/2020;5,8;12
Bagnoregio;20/02/2020;3,9;13
Bagnoregio;21/02/2020;4;15,1
Bagnoregio;22/02/2020;5,1;16,4
Bagnoregio;23/02/2020;5,5;15,5
Bagnoregio;24/02/2020;6,8;18,1
Bagnoregio;25/02/2020;8;14
Bagnoregio;26/02/2020;1,2;13,8
Bagnoregio;27/02/2020;0,1;11,9
Bagnoregio;28/02/2020;5,3;13,5
Bagnoregio;29/02/2020;3,4;12
Barbarano;01/02/2020;9,9;12,6
Barbarano;02/02/2020;10,7;14,8
Barbarano;03/02/2020;8,3;18,2
Barbarano;04/02/2020;6,5;17,3
Barbarano;05/02/2020;2,3;11,2
Barbarano;06/02/2020;0,9;9,9
Barbarano;07/02/2020;0,3;12,5
Barbarano;08/02/2020;0,3;14,4
Barbarano;09/02/2020;3,9;13,3
Barbarano;10/02/2020;9,3;12,3
Barbarano;11/02/2020;8,5;18,6
Barbarano;12/02/2020;5,9;16,2
Barbarano;13/02/2020;5,6;14
Barbarano;14/02/2020;6,9;16,3
Barbarano;15/02/2020;3,7;15,7
Barbarano;16/02/2020;4,6;16,4
Barbarano;17/02/2020;4;15,5
Barbarano;18/02/2020;6,7;16,1
Barbarano;19/02/2020;4,4;13,8
Barbarano;20/02/2020;3,9;13,9
Barbarano;21/02/2020;3;14,5
Barbarano;22/02/2020;4,5;15,2
Barbarano;23/02/2020;4,9;14,9
Barbarano;24/02/2020;6,6;18
Barbarano;25/02/2020;9,6;14,8
Barbarano;26/02/2020;-;-
Barbarano;27/02/2020;-0,6;11,6
Barbarano;28/02/2020;3,5;13,7
Barbarano;29/02/2020;3,7;13,6
Bolsena;01/02/2020;9,9;12,2
Bolsena;02/02/2020;9,8;15,8
Bolsena;03/02/2020;8,9;17,8
Bolsena;04/02/2020;6,7;16,6
Bolsena;05/02/2020;2,4;11,9
Bolsena;06/02/2020;3,3;10,9
Bolsena;07/02/2020;-1;14,3
Bolsena;08/02/2020;0,1;14,7
Bolsena;09/02/2020;0,9;13,2
Bolsena;10/02/2020;9,3;12,4
Bolsena;11/02/2020;7;17,9
Bolsena;12/02/2020;3,9;17,2
Bolsena;13/02/2020;3,3;15,5
Bolsena;14/02/2020;6,9;16,7
Bolsena;15/02/2020;4,4;16,4
Bolsena;16/02/2020;1,9;17,7
Bolsena;17/02/2020;3;16,1
Bolsena;18/02/2020;5,2;17,2
Bolsena;19/02/2020;3,7;15
Bolsena;20/02/2020;3,2;13,8
Bolsena;21/02/2020;1;16,6
Bolsena;22/02/2020;3,7;17,5
Bolsena;23/02/2020;3,1;16,9
Bolsena;24/02/2020;6,5;18,5
Bolsena;25/02/2020;9,8;16,6
Bolsena;26/02/2020;-0,2;15,4
Bolsena;27/02/2020;1,6;14,5
Bolsena;28/02/2020;3,2;14,3
Bolsena;29/02/2020;1,7;14,1
Borgo Montello;01/02/2020;9,5;17,3
Borgo Montello;02/02/2020;10;18,3
Borgo Montello;03/02/2020;7,2;19
Borgo Montello;04/02/2020;7,6;19,4
Borgo Montello;05/02/2020;4,5;14,4
Borgo Montello;06/02/2020;1,4;16,2
Borgo Montello;07/02/2020;0,2;15,3
Borgo Montello;08/02/2020;-2,5;16,3
Borgo Montello;09/02/2020;0,6;16,9
Borgo Montello;10/02/2020;7,5;13,4
Borgo Montello;11/02/2020;8,4;19,6
Borgo Montello;12/02/2020;4,2;18,6
Borgo Montello;13/02/2020;2,7;17,1
Borgo Montello;14/02/2020;6;19,3
Borgo Montello;15/02/2020;2;18,1
Borgo Montello;16/02/2020;1,6;17,5
Borgo Montello;17/02/2020;2,2;16,9
Borgo Montello;18/02/2020;2,7;15,8
Borgo Montello;19/02/2020;4;16,3
Borgo Montello;20/02/2020;2,7;17,7
Borgo Montello;21/02/2020;1;18,6
Borgo Montello;22/02/2020;2,7;17,7
Borgo Montello;23/02/2020;1,8;18,9
Borgo Montello;24/02/2020;9,6;19,3
Borgo Montello;25/02/2020;8;17,4
Borgo Montello;26/02/2020;5,4;17,4
Borgo Montello;27/02/2020;1,7;15,9
Borgo Montello;28/02/2020;6,6;19,5
Borgo Montello;29/02/2020;2,1;16,7
Borgorose;01/02/2020;5;9,3
Borgorose;02/02/2020;4,2;12,1
Borgorose;03/02/2020;3,2;14,4
Borgorose;04/02/2020;-0,4;13,1
Borgorose;05/02/2020;-0,9;6,2
Borgorose;06/02/2020;-4,4;7,5
Borgorose;07/02/2020;-7,2;12
Borgorose;08/02/2020;-6,8;12,2
Borgorose;09/02/2020;-4,7;10,9
Borgorose;10/02/2020;2,8;8,2
Borgorose;11/02/2020;2,9;15,8
Borgorose;12/02/2020;-1,5;13,5
Borgorose;13/02/2020;-3,5;12,6
Borgorose;14/02/2020;0,6;12,6
Borgorose;15/02/2020;-3,5;13,2
Borgorose;16/02/2020;-4,3;14,7
Borgorose;17/02/2020;-3,5;15,1
Borgorose;18/02/2020;-2,9;14,6
Borgorose;19/02/2020;-1,6;10,5
Borgorose;20/02/2020;-1,5;11,9
Borgorose;21/02/2020;-4,6;12
Borgorose;22/02/2020;-3,1;14,5
Borgorose;23/02/2020;-2,5;16,1
Borgorose;24/02/2020;-1,6;18,5
Borgorose;25/02/2020;0,8;13,9
Borgorose;26/02/2020;-0,8;10,5
Borgorose;27/02/2020;-4;8,1
Borgorose;28/02/2020;0,4;13
Borgorose;29/02/2020;-4,2;11,3
Bracciano;01/02/2020;9,8;12,6
Bracciano;02/02/2020;10,8;14,8
Bracciano;03/02/2020;11;17,1
Bracciano;04/02/2020;5,6;18,4
Bracciano;05/02/2020;4,2;11,9
Bracciano;06/02/2020;4,1;10,8
Bracciano;07/02/2020;2;15
Bracciano;08/02/2020;1,2;15,9
Bracciano;09/02/2020;4,3;13,8
Bracciano;10/02/2020;9,3;12,2
Bracciano;11/02/2020;10,2;18,3
Bracciano;12/02/2020;8,2;17,7
Bracciano;13/02/2020;6;14,3
Bracciano;14/02/2020;9,7;17,5
Bracciano;15/02/2020;7,4;18,2
Bracciano;16/02/2020;4,7;17,4
Bracciano;17/02/2020;4,1;16,7
Bracciano;18/02/2020;7,4;16,9
Bracciano;19/02/2020;5,2;13,4
Bracciano;20/02/2020;7,4;16,4
Bracciano;21/02/2020;4;16,1
Bracciano;22/02/2020;5;16,2
Bracciano;23/02/2020;6,3;16,4
Bracciano;24/02/2020;9,6;18,8
Bracciano;25/02/2020;9,7;15,7
Bracciano;26/02/2020;4,2;15,9
Bracciano;27/02/2020;3,6;13
Bracciano;28/02/2020;8;15,6
Bracciano;29/02/2020;5,8;14,6
Brusciano;01/02/2020;4;5,8
Brusciano;02/02/2020;4,4;7,6
Brusciano;03/02/2020;4,4;10,2
Brusciano;04/02/2020;-2,9;10
Brusciano;05/02/2020;-4,5;0,4
Brusciano;06/02/2020;-5,7;0,2
Brusciano;07/02/2020;-3,6;6,8
Brusciano;08/02/2020;-0,6;7,4
Brusciano;09/02/2020;-0,1;7,6
Brusciano;10/02/2020;1,4;5,5
Brusciano;11/02/2020;2,9;9,6
Brusciano;12/02/2020;0,9;8,5
Brusciano;13/02/2020;0,1;8,3
Brusciano;14/02/2020;1,6;6,4
