Stazioni;Data;T-MIN;T-MAX
Bagnoregio;01/03/2020;6,6;12,3
Bagnoregio;02/03/2020;7,3;11,8
Bagnoregio;03/03/2020;4,2;10,1
Bagnoregio;04/03/2020;2,4;11,8
Bagnoregio;05/03/2020;2,3;11,8
Bagnoregio;06/03/2020;5,6;14,3
Bagnoregio;07/03/2020;4,0;11,8
Bagnoregio;08/03/2020;4,3;12,6
Bagnoregio;09/03/2020;3,0;12,1
Bagnoregio;10/03/2020;4,0;15,4
Bagnoregio;11/03/2020;7,1;16,8
Bagnoregio;12/03/2020;6,0;15,5
Bagnoregio;13/03/2020;6,3;11,9
Bagnoregio;14/03/2020;8,1;12,0
Bagnoregio;15/03/2020;5,4;14,5
Bagnoregio;16/03/2020;4,9;18,0
Bagnoregio;17/03/2020;6,1;17,3
Bagnoregio;18/03/2020;7,5;18,7
Bagnoregio;19/03/2020;8,9;19,9
Bagnoregio;20/03/2020;8,1;18,3
Bagnoregio;21/03/2020;7,6;17,7
Bagnoregio;22/03/2020;4,7;18,1
Bagnoregio;23/03/2020;-0,6;5,9
Bagnoregio;24/03/2020;-1,9;5,7
Bagnoregio;25/03/2020;-2,4;9,9
Bagnoregio;26/03/2020;0,1;8,3
Bagnoregio;27/03/2020;6,0;13,4
Bagnoregio;28/03/2020;5,9;16,6
Bagnoregio;29/03/2020;5,2;16,9
Bagnoregio;30/03/2020;6,8;16,0
Bagnoregio;31/03/2020;0,4;8,2
Barbarano;01/03/2020;9,6;13,7
Barbarano;02/03/2020;9,3;12,9
Barbarano;03/03/2020;6,3;12,5
Barbarano;04/03/2020;2,5;12,4
Barbarano;05/03/2020;3,0;14,0
Barbarano;06/03/2020;6,4;15,4
Barbarano;07/03/2020;3,8;12,4
Barbarano;08/03/2020;4,4;12,7
Barbarano;09/03/2020;2,1;13,0
Barbarano;10/03/2020;4,8;15,2
Barbarano;11/03/2020;4,7;16,6
Barbarano;12/03/2020;5,9;15,1
Barbarano;13/03/2020;7,4;15,3
Barbarano;14/03/2020;9,9;14,1
Barbarano;15/03/2020;6,8;16,8
Barbarano;16/03/2020;6,0;16,4
Barbarano;17/03/2020;6,6;16,9
Barbarano;18/03/2020;5,1;19,6
Barbarano;19/03/2020;7,6;19,4
Barbarano;20/03/2020;6,5;17,7
Barbarano;21/03/2020;6,0;17,1
Barbarano;22/03/2020;7,8;19,0
